	Behringher-45		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
3984.375000	-0.70	20.63	1.00
4031.250000	-0.71	21.31	1.00
4078.125000	-0.71	22.14	1.00
4125.000000	-0.68	23.11	1.00
4171.875000	-0.62	24.17	0.99
4218.750000	-0.52	25.22	1.00
4265.625000	-0.38	26.14	1.00
4312.500000	-0.21	26.84	1.00
4359.375000	-0.00	27.26	0.99
4406.250000	0.21	27.36	0.99
4453.125000	0.41	27.16	1.00
4500.000000	0.59	26.72	1.00
4593.750000	0.71	26.10	0.99
4687.500000	0.85	24.47	0.99
4781.250000	0.85	23.11	0.99
4875.000000	0.77	22.60	1.00
4968.750000	0.69	22.95	1.00
5062.500000	0.68	23.82	0.99
5156.250000	0.74	24.77	0.99
5250.000000	0.87	25.45	0.99
5343.750000	1.02	25.67	0.99
5437.500000	1.15	25.52	1.00
5531.250000	1.26	25.30	1.00
5625.000000	1.35	25.17	0.99
5718.750000	1.43	25.16	0.99
5812.500000	1.52	25.20	1.00
5906.250000	1.64	25.13	1.00
6000.000000	1.77	24.83	1.00
6093.750000	1.90	24.28	0.99
6187.500000	2.00	23.60	1.00
6281.250000	2.06	22.91	1.00
6375.000000	2.08	22.31	1.00
6468.750000	2.07	21.80	1.00
6562.500000	2.05	21.42	1.00
6656.250000	2.02	21.24	1.00
6750.000000	1.99	21.26	0.99
6843.750000	1.98	21.42	1.00
6937.500000	1.99	21.64	1.00
7031.250000	2.00	21.89	1.00
7125.000000	2.03	22.08	0.99
7218.750000	2.07	22.15	1.00
7312.500000	2.12	22.10	1.00
7406.250000	2.17	21.93	1.00
7500.000000	2.22	21.67	1.00
7593.750000	2.27	21.34	0.99
7687.500000	2.32	21.01	0.99
7781.250000	2.36	20.73	0.99
7875.000000	2.39	20.55	0.99
7968.750000	2.41	20.46	1.00
8062.500000	2.44	20.45	1.00
8156.250000	2.47	20.49	1.00
8250.000000	2.52	20.52	0.99
8343.750000	2.58	20.48	1.00
8437.500000	2.64	20.32	1.00
8531.250000	2.70	20.02	1.00
8625.000000	2.74	19.59	1.00
8718.750000	2.76	19.08	1.00
8812.500000	2.76	18.55	1.00
8906.250000	2.74	18.07	1.00
9000.000000	2.70	17.72	1.00
9187.500000	2.65	17.52	1.00
9375.000000	2.56	17.41	1.00
9562.500000	2.52	17.51	1.00
9750.000000	2.55	17.48	1.00
9937.500000	2.61	17.01	1.00
10125.000000	2.62	16.26	1.00
10312.500000	2.57	15.58	1.00
10500.000000	2.50	15.17	1.00
10687.500000	2.44	14.96	1.00
10875.000000	2.40	14.80	1.00
11062.500000	2.36	14.55	1.00
11250.000000	2.29	14.30	1.00
11437.500000	2.19	14.19	1.00
11625.000000	2.08	14.31	1.00
11812.500000	2.00	14.62	1.00
12000.000000	1.93	15.02	1.00
12187.500000	1.90	15.35	1.00
12375.000000	1.87	15.57	1.00
12562.500000	1.83	15.69	1.00
12750.000000	1.77	15.81	1.00
12937.500000	1.71	16.01	1.00
13125.000000	1.63	16.33	1.00
13312.500000	1.56	16.75	1.00
13500.000000	1.49	17.29	1.00
13687.500000	1.42	18.01	1.00
13875.000000	1.38	18.89	1.00
14062.500000	1.38	19.87	1.00
14250.000000	1.40	20.83	1.00
14437.500000	1.46	21.66	1.00
14625.000000	1.53	22.31	1.00
14812.500000	1.60	22.80	1.00
15000.000000	1.67	23.19	1.00
15187.500000	1.74	23.56	1.00
15375.000000	1.79	23.98	1.00
15562.500000	1.87	24.43	1.00
15750.000000	1.96	24.85	1.00
15937.500000	2.09	25.09	1.00
16125.000000	2.21	25.10	1.00
16312.500000	2.33	24.92	1.00
16500.000000	2.41	24.67	1.00
16687.500000	2.48	24.50	1.00
16875.000000	2.55	24.45	1.00
17062.500000	2.64	24.46	1.00
17250.000000	2.75	24.41	1.00
17437.500000	2.88	24.20	1.00
17625.000000	3.02	23.80	1.00
17812.500000	3.15	23.24	1.00
18000.000000	3.28	22.53	1.00
18187.500000	3.40	21.67	1.00
18375.000000	3.50	20.68	1.00
18562.500000	3.59	19.57	1.00
18750.000000	3.64	18.40	1.00
18937.500000	3.67	17.19	1.00
19125.000000	3.68	15.96	1.00
19312.500000	3.66	14.74	1.00
19500.000000	3.61	13.55	1.00
19687.500000	3.54	12.42	1.00
19875.000000	3.45	11.36	1.00
20062.500000	3.34	10.37	1.00
20250.000000	3.21	9.46	1.00
20437.500000	3.08	8.64	1.00
20625.000000	2.94	7.91	1.00
20812.500000	2.81	7.25	1.00
21000.000000	2.68	6.62	1.00
21187.500000	2.55	6.00	1.00
21375.000000	2.42	5.43	1.00
21562.500000	2.30	4.96	1.00
21750.000000	2.13	4.55	1.00
21937.500000	1.95	4.44	1.00
22125.000000	1.82	4.87	0.99
22312.500000	1.88	5.56	0.99
22500.000000	2.19	5.38	0.99
22687.500000	2.52	2.42	0.96
22875.000000	1.91	2.97	0.99
23062.500000	1.63	23.50	0.70
23250.000000	-0.20	-117.87	0.31
23437.500000	-3.56	-134.69	0.26
23625.000000	-3.76	-103.10	0.31
23812.500000	-6.46	-163.25	0.49
